Base Name,URL
Eielson AFB,https://installations.militaryonesource.mil/military-installation/eielson-afb/child-and-youth-services/child-and-youth-programs
Elmendorf AFB,https://installations.militaryonesource.mil/military-installation/elmendorf-afb/child-and-youth-services/child-and-youth-programs
Fort Richardson,https://installations.militaryonesource.mil/military-installation/fort-richardson/child-and-youth-services/child-and-youth-programs
Fort Wainwright,https://installations.militaryonesource.mil/military-installation/fort-wainwright/child-and-youth-services/child-and-youth-programs
Anniston Army Depot,https://installations.militaryonesource.mil/military-installation/anniston-army-depot/child-and-youth-services/child-and-youth-programs
Fort Novosel,https://installations.militaryonesource.mil/military-installation/fort-novosel/child-and-youth-services/child-and-youth-programs
Maxwell AFB,https://installations.militaryonesource.mil/military-installation/maxwell-afb/child-and-youth-services/child-and-youth-programs
Maxwell AFB Gunter Annex,https://installations.militaryonesource.mil/military-installation/maxwell-afb-gunter-annex/child-and-youth-services/child-and-youth-programs
Redstone Arsenal,https://installations.militaryonesource.mil/military-installation/redstone-arsenal/child-and-youth-services/child-and-youth-programs
Little Rock Air Force Base,https://installations.militaryonesource.mil/military-installation/little-rock-air-force-base/child-and-youth-services/child-and-youth-programs
Pine Bluff Arsenal,https://installations.militaryonesource.mil/military-installation/pine-bluff-arsenal/child-and-youth-services/child-and-youth-programs
Davis-Monthan Air Force Base,https://installations.militaryonesource.mil/military-installation/davis-monthan-air-force-base/child-and-youth-services/child-and-youth-programs
Fort Huachuca,https://installations.militaryonesource.mil/military-installation/fort-huachuca/child-and-youth-services/child-and-youth-programs
Luke AFB,https://installations.militaryonesource.mil/military-installation/luke-afb/child-and-youth-services/child-and-youth-programs
Marine Corps Air Station Yuma,https://installations.militaryonesource.mil/military-installation/marine-corps-air-station-yuma/child-and-youth-services/child-and-youth-programs
Yuma Proving Ground,https://installations.militaryonesource.mil/military-installation/yuma-proving-ground/child-and-youth-services/child-and-youth-programs
Beale AFB,https://installations.militaryonesource.mil/military-installation/beale-afb/child-and-youth-services/child-and-youth-programs
Edwards AFB,https://installations.militaryonesource.mil/military-installation/edwards-afb/child-and-youth-services/child-and-youth-programs
Fort Irwin,https://installations.militaryonesource.mil/military-installation/fort-irwin/child-and-youth-services/child-and-youth-programs
Los Angeles SFB,https://installations.militaryonesource.mil/military-installation/los-angeles-sfb/child-and-youth-services/child-and-youth-programs
March ARB,https://installations.militaryonesource.mil/military-installation/march-arb/child-and-youth-services/child-and-youth-programs
Marine Corps Air Ground Combat Center Twentynine Palms,https://installations.militaryonesource.mil/military-installation/marine-corps-air-ground-combat-center-twentynine-palms/child-and-youth-services/child-and-youth-programs
Marine Corps Air Station Miramar,https://installations.militaryonesource.mil/military-installation/marine-corps-air-station-miramar/child-and-youth-services/child-and-youth-programs
Marine Corps Base Camp Pendleton,https://installations.militaryonesource.mil/military-installation/marine-corps-base-camp-pendleton/child-and-youth-services/child-and-youth-programs
Marine Corps Logistics Base Barstow,https://installations.militaryonesource.mil/military-installation/marine-corps-logistics-base-barstow/child-and-youth-services/child-and-youth-programs
Marine Corps Mountain Warfare Training Center (MWTC),https://installations.militaryonesource.mil/military-installation/marine-corps-mountain-warfare-training-center-(mwtc)/child-and-youth-services/child-and-youth-programs
Marine Corps Recruit Depot San Diego,https://installations.militaryonesource.mil/military-installation/marine-corps-recruit-depot-san-diego/child-and-youth-services/child-and-youth-programs
Naval Air Facility El Centro,https://installations.militaryonesource.mil/military-installation/naval-air-facility-el-centro/child-and-youth-services/child-and-youth-programs
Naval Air Station Lemoore,https://installations.militaryonesource.mil/military-installation/naval-air-station-lemoore/child-and-youth-services/child-and-youth-programs
Naval Air Station North Island,https://installations.militaryonesource.mil/military-installation/naval-air-station-north-island/child-and-youth-services/child-and-youth-programs
Naval Air Warfare Center China Lake,https://installations.militaryonesource.mil/military-installation/naval-air-warfare-center-china-lake/child-and-youth-services/child-and-youth-programs
Naval Base Point Loma,https://installations.militaryonesource.mil/military-installation/naval-base-point-loma/child-and-youth-services/child-and-youth-programs
Naval Base San Diego,https://installations.militaryonesource.mil/military-installation/naval-base-san-diego/child-and-youth-services/child-and-youth-programs
Naval Base Ventura County,https://installations.militaryonesource.mil/military-installation/naval-base-ventura-county/child-and-youth-services/child-and-youth-programs
Naval Support Activity Monterey,https://installations.militaryonesource.mil/military-installation/naval-support-activity-monterey/child-and-youth-services/child-and-youth-programs
Naval Weapons Station Seal Beach,https://installations.militaryonesource.mil/military-installation/naval-weapons-station-seal-beach/child-and-youth-services/child-and-youth-programs
Presidio of Monterey (DLI/FLC),https://installations.militaryonesource.mil/military-installation/presidio-of-monterey-(dli/flc)/child-and-youth-services/child-and-youth-programs
Travis Air Force Base,https://installations.militaryonesource.mil/military-installation/travis-air-force-base/child-and-youth-services/child-and-youth-programs
Vandenberg SFB,https://installations.militaryonesource.mil/military-installation/vandenberg-sfb/child-and-youth-services/child-and-youth-programs
Buckley SFB,https://installations.militaryonesource.mil/military-installation/buckley-sfb/child-and-youth-services/child-and-youth-programs
Cheyenne Mountain Space Force Station,https://installations.militaryonesource.mil/military-installation/cheyenne-mountain-space-force-station/child-and-youth-services/child-and-youth-programs
Fort Carson,https://installations.militaryonesource.mil/military-installation/fort-carson/child-and-youth-services/child-and-youth-programs
Peterson SFB,https://installations.militaryonesource.mil/military-installation/peterson-sfb/child-and-youth-services/child-and-youth-programs
