installation,branch,state,joint_base,latitude,longitude,url
Eielson AFB,Air Force,AK,,+64.6733002,-147.0594637,https://installations.militaryonesource.mil/military-installation/eielson-afb/child-and-youth-services/child-and-youth-programs
Elmendorf AFB,Air Force,AK,Joint Base Elmendorf - Richardson JBER,+61.2534624,-149.8107410,https://installations.militaryonesource.mil/military-installation/elmendorf-afb/child-and-youth-services/child-and-youth-programs
Fort Richardson,Army,AK,Joint Base Elmendorf - Richardson JBER,+61.2719680,-149.6414223,https://installations.militaryonesource.mil/military-installation/fort-richardson/child-and-youth-services/child-and-youth-programs
Fort Wainwright,Army,AK,,+64.4891625,-147.3363425,https://installations.militaryonesource.mil/military-installation/fort-wainwright/child-and-youth-services/child-and-youth-programs
Anniston Army Depot,Army,AL,,+33.6467452,-85.9690161,https://installations.militaryonesource.mil/military-installation/anniston-army-depot/child-and-youth-services/child-and-youth-programs
Fort Novosel,Army,AL,,+31.3925510,-85.7436080,https://installations.militaryonesource.mil/military-installation/fort-novosel/child-and-youth-services/child-and-youth-programs
Maxwell AFB,Air Force,AL,,+32.3809438,-86.3637490,https://installations.militaryonesource.mil/military-installation/maxwell-afb/child-and-youth-services/child-and-youth-programs
Maxwell AFB Gunter Annex,Air Force,AL,,+32.4069311,-86.2462790,https://installations.militaryonesource.mil/military-installation/maxwell-afb-gunter-annex/child-and-youth-services/child-and-youth-programs
Redstone Arsenal,Army,AL,,+34.6330274,-86.6590573,https://installations.militaryonesource.mil/military-installation/redstone-arsenal/child-and-youth-services/child-and-youth-programs
Little Rock Air Force Base,Air Force,AR,,+34.9057432,-92.1382940,https://installations.militaryonesource.mil/military-installation/little-rock-air-force-base/child-and-youth-services/child-and-youth-programs
Pine Bluff Arsenal,Army,AR,,+34.3266108,-92.0883721,https://installations.militaryonesource.mil/military-installation/pine-bluff-arsenal/child-and-youth-services/child-and-youth-programs
Davis-Monthan Air Force Base,Air Force,AZ,,+32.1606892,-110.8483292,https://installations.militaryonesource.mil/military-installation/davis-monthan-air-force-base/child-and-youth-services/child-and-youth-programs
Fort Huachuca,Army,AZ,,+31.5672964,-110.3302287,https://installations.militaryonesource.mil/military-installation/fort-huachuca/child-and-youth-services/child-and-youth-programs
Luke AFB,Air Force,AZ,,+33.5364067,-112.3728968,https://installations.militaryonesource.mil/military-installation/luke-afb/child-and-youth-services/child-and-youth-programs
Marine Corps Air Station Yuma,Marine Corps,AZ,,+32.6458708,-114.6012703,https://installations.militaryonesource.mil/military-installation/marine-corps-air-station-yuma/child-and-youth-services/child-and-youth-programs
Yuma Proving Ground,Army,AZ,,+32.9107081,-113.8798745,https://installations.militaryonesource.mil/military-installation/yuma-proving-ground/child-and-youth-services/child-and-youth-programs
Beale AFB,Air Force,CA,,+39.1191804,-121.3995270,https://installations.militaryonesource.mil/military-installation/beale-afb/child-and-youth-services/child-and-youth-programs
Edwards AFB,Air Force,CA,,+34.9080209,-117.8278171,https://installations.militaryonesource.mil/military-installation/edwards-afb/child-and-youth-services/child-and-youth-programs
Fort Irwin,Army,CA,,+35.4026962,-116.6442496,https://installations.militaryonesource.mil/military-installation/fort-irwin/child-and-youth-services/child-and-youth-programs
Los Angeles SFB,Space Force,CA,,+33.9190276,-118.3812057,https://installations.militaryonesource.mil/military-installation/los-angeles-sfb/child-and-youth-services/child-and-youth-programs
March ARB,Air Force,CA,,+33.8929223,-117.2621864,https://installations.militaryonesource.mil/military-installation/march-arb/child-and-youth-services/child-and-youth-programs
